Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
SUV,New Range Rover P400 LWB MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,New Range Rover P400 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover Evoque MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,2.0L
SUV,Range Rover P360 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover P400 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover Sport P360 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover Sport P400 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover Sport PHEV,2022.0,Land Rover,Plug-in Hybrid Electric,Compression Ignition,2.0L
SUV,Range Rover Velar P340 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Range Rover Velar P400 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,ES 300h,2022.0,Lexus,Hybrid Electric,Spark Ignition,2.5L
Sedan/Wagon,LC 500h,2022.0,Lexus,Hybrid Electric,Spark Ignition,3.5L
Sedan/Wagon,LS 500h AWD,2022.0,Lexus,Hybrid Electric,Spark Ignition,3.5L
SUV,NX 350h AWD,2022.0,Lexus,Hybrid Electric,Spark Ignition,2.5L
SUV,NX 450+ AWD,2022.0,Lexus,Plug-in Hybrid Electric,Spark Ignition,2.5L
SUV,RX 450h AWD,2022.0,Lexus,Hybrid Electric,Spark Ignition,3.5L
SUV,RX 450h L AWD,2022.0,Lexus,Hybrid Electric,Spark Ignition,3.5L
Sedan/Wagon,UX 250h,2022.0,Lexus,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,UX 250h AWD,2022.0,Lexus,Hybrid Electric,Spark Ignition,2.0L
SUV,Aviator AWD PHEV,2022.0,Lincoln,Plug-in Hybrid Electric,Spark Ignition,3.0L
SUV,Corsair AWD PHEV,2022.0,Lincoln,Plug-in Hybrid Electric,Spark Ignition,2.5L
Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,370 kW
Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,370 kW
Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,198 kW
Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,198 kW
Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,178 kW
Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,Electric Motor,178 kW
Sedan/Wagon,MX-30,2022.0,Mazda,Electric,Electric Motor,81 kW
Sedan/Wagon,AMG E53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
SUV,AMG GLE 53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
SUV,AMG GLE 53 4MATIC+ (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
SUV,AMG GLE 63 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,4.0L
SUV,AMG GLE 63 S 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,4.0L
SUV,AMG GLE 63 S 4MATIC+ (coupe),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,4.0L
Sedan/Wagon,AMG GT 43 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,AMG GT 53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,C 300,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,C 300 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,CLS 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,E 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,E 450 4MATIC (Convertible),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,E 450 4MATIC (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,Spark Ignition,3.0L
